#Bulk Export - Points every 1 day(s),,,,
,,0570061RF,0570051RF,0570021RF
,,LDG. NADA AT PAHANG (3931013),SG. LEMBING PAHANG CONSOLIDATED COMPANY LIMITED MILL AT PAHANG (3930012),LDG. KUALA REMAN AT PAHANG (3931014)
,,Rainfall.Primary,Rainfall.Primary,Rainfall.Primary
Start of Interval (UTC+08:00),End of Interval (UTC+08:00),Total (mm),Total (mm),Total (mm)
2009-11-08 00:00:00,2009-11-09 00:00:00,0.4,2.3,0.4
2009-11-09 00:00:00,2009-11-10 00:00:00,13.1,13.2,13.6
2009-11-10 00:00:00,2009-11-11 00:00:00,6.5,7.0,0.0
2009-11-11 00:00:00,2009-11-12 00:00:00,0.5,0.0,0.0
2009-11-12 00:00:00,2009-11-13 00:00:00,0.8,0.3,0.3
2009-11-13 00:00:00,2009-11-14 00:00:00,15.2,10.6,14.2
2009-11-14 00:00:00,2009-11-15 00:00:00,2.3,2.0,2.9
2009-11-15 00:00:00,2009-11-16 00:00:00,16.7,2.5,19.6
2009-11-16 00:00:00,2009-11-17 00:00:00,0.0,0.0,0.0
2009-11-17 00:00:00,2009-11-18 00:00:00,0.0,0.0,0.0
2009-11-18 00:00:00,2009-11-19 00:00:00,16.3,17.7,16.3
2009-11-19 00:00:00,2009-11-20 00:00:00,22.7,21.4,26.0
2009-11-20 00:00:00,2009-11-21 00:00:00,60.7,38.7,69.0
2009-11-21 00:00:00,2009-11-22 00:00:00,62.7,55.6,65.2
2009-11-22 00:00:00,2009-11-23 00:00:00,42.1,34.8,46.5
2009-11-23 00:00:00,2009-11-24 00:00:00,9.1,11.3,18.2
2009-11-24 00:00:00,2009-11-25 00:00:00,0.7,2.5,1.3
2009-11-25 00:00:00,2009-11-26 00:00:00,4.0,13.5,4.5
2009-11-26 00:00:00,2009-11-27 00:00:00,17.5,24.5,13.4
2009-11-27 00:00:00,2009-11-28 00:00:00,9.0,13.5,15.1
2009-11-28 00:00:00,2009-11-29 00:00:00,0.0,0.0,0.0
2009-11-29 00:00:00,2009-11-30 00:00:00,0.0,0.0,0.5
2009-11-30 00:00:00,2009-12-01 00:00:00,4.9,4.3,5.5
